n-Propanol_29
1.161
0.95
0.796
0.685
0.606
0.55
0.513
0.484
0.47
0.462
0.457
0.453
0.451
0.451
0.451
0.451
0.452
0.454
0.457
0.458
0.458
0.46
0.461
0.46
0.46
0.46
0.46
0.461
0.462
0.463
0.464
0.465
0.465
0.466
0.467
0.466
0.466
0.466
0.465
0.465
0.465
0.469
0.467
0.466
0.464
0.463
0.462
0.46
0.46
0.46
0.46
0.46
0.46
0.458
0.458
0.457
0.456
0.455
0.455
0.452
0.45
0.446
0.444
0.443
0.443
0.442
0.44
0.44
0.44
0.441
0.446
0.459
0.482
0.516
0.567
0.64
0.72
0.727
0.596
0.406
0.252
0.027
-0.155
-0.333
-0.393
-0.445
-0.445
-0.424
-0.334
-0.182
0.03
0.297
0.625
0.98
1.308
1.617
1.889
2.052
1.958
1.946
1.945
1.945
1.946
1.954
2.013
2.006
1.778
1.488
1.14
0.786
0.46
0.163
-0.08
-0.257
-0.375
-0.429
-0.429
-0.407
-0.355
-0.245
-0.084
0.099
0.333
0.526
0.678
0.731
0.655
0.58
0.524
0.482
0.454
0.439
0.433
0.43
0.426
0.426
0.425
0.425
0.425
0.426
0.428
0.43
0.43
0.433
0.437
0.439
0.439
0.438
0.438
0.438
0.44
0.441
0.443
0.446
0.447
0.447
0.447
0.45
0.45
0.45
0.45
0.45
0.45
0.451
0.451
0.451
0.452
0.453
0.451
0.451
0.45
0.449
0.448
0.448
0.448
0.449
0.449
0.45
0.45
0.454
0.457
0.457
0.457
0.457
0.457
0.46
0.46
0.46
0.46
0.462
0.462
0.461
0.46
0.46
0.462
0.466
0.473
0.483
0.499
0.533
0.58
0.657
0.772
0.931
1.16
