Molecule,P_app,P_app_error,Assay,pH,Efflux_effects,Efflux_ratio,P_app_ref,reference,P_app_comments,Other_Comments,Dosing_Concentration (uM)
Lamotrigine,0.00011,0.000035,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Lisinopril,0.00000022,0.00000041,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements. dipeptide transport substrates.,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Loracarbef,0.00000024,0.00000008,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements. dipeptide transport substrates.,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Mannitol,0.00000057,0.00000019,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Methylprednisolone,0.000025,0.0000052,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Metoprolol,0.00014,0.00001,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements. The expt. Value is for Metoprolol Tartrate but they exist as tartrate salt and metoprolol in PubChem,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Nadolol,0.00000039,0.00000034,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Netivudine,0.00000068,0.00000011,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Olsalazine,0.000000016,0.000000006,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Ondansetron,0.00011,0.000014,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Oxyprenolol,0.00016,0.000025,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Penicillin V,0.00000017,0.000000034,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Phenytoin,0.00016,0.000018,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Pindolol,0.000096,0.0000079,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Practolol,0.0000061,0.0000017,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Progesterone,0.000098,0.000006,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Propranolol,0.00011,0.000013,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Propylthiouracil,0.000096,0.0000087,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Salicylic Acid,0.000013,0.0000011,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Sotalol,0.0000042,0.0000013,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Sulfasalazine,0.0000006,0.0000011,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements. P-gp efflux substrates,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Terbutaline,0.00000041,0.00000016,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Testosterone,0.0001,0.0000071,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Timolol,0.0001,0.000008,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements. The expt. Value is for Timolol Maleate but they exist as maleic acid and Timolol in PubChem,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Trimethoprim,0.000087,0.000013,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Warfarin,0.000096,0.000021,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Lucifer Yellow,0.00000031,0.00000028,Caco-2,7.4,NA,nan,10.1021/js9803205,Irvine et al. 1999,transwell-COL membrane measurements,seeded with 664 000 cells per cm2. with 30 rpm. reciprocal shaking.,100
Carbon dioxide,0.35,0.04,Black Lipid Membranes,nan,NA,nan,10.1085/jgp.69.6.779,Gutknecht et al. 1977,"Permeability Coefficient was calculated by linear regression over a pH range 7.1-9.5 (Figure 4, Equation 10)","Used a 1:1 molar ratio of egg lecithin and cholesterol in decane. Although the 1:1 molar ratio produces a ""highly ordered"" membrane (Erdei et al., 1975), the presence of unknown amounts of decane may increase membrane fluidity. This value seems to be reported erranously in Wang et al 2019 as 0.16",11
Caffeine,0.000021,0.000012,human BMEC,NR,NA,nan,10.1038/s41598-019-42272-0,Wang et al. 2019,transwell assay with human induced pluripotent stem cell (iPSC)-derived hBMECs  (Table 2),"hBMECs were sub-cultured onto polyester 12-well transwell inserts with a 0.4 µm pore size (Corning) coated with 1:1 collagen IV (100µg mL−1, Sigma) and fibronectin (50 µg mL−1, Sigma) at a density of 1×10^6 cells mL−1",*100uL
Tacrine,0.00000939,0.00000054,human BMEC,NR,NA,nan,10.1371/journal.pone.0152105,Moriah et al. 2016,transwell assay with human induced pluripotent stem cell (iPSC)-derived hBMECs,"24 well (6.5 mm) Corning transwell polyester membranes with 0.4 μm pores, or glass rods, coated with a 50/50 mixture of 100 μg mL-1 collagen IV (Sigma) and 50 μg mL-1 fibronectin (Sigma). sub-cultured at a density of 1 x 10^6 cells mL-1",3
Rhodamine 123,0.00000732,0.00000265,human BMEC,NR,NA,nan,10.1371/journal.pone.0152105,Moriah et al. 2016,transwell assay with human induced pluripotent stem cell (iPSC)-derived hBMECs,"24 well (6.5 mm) Corning transwell polyester membranes with 0.4 μm pores, or glass rods, coated with a 50/50 mixture of 100 μg mL-1 collagen IV (Sigma) and 50 μg mL-1 fibronectin (Sigma). sub-cultured at a density of 1 x 10^6 cells mL-1",10
Lucifer Yellow,0.00000158,0.00000037,human BMEC,NR,NA,nan,10.1371/journal.pone.0152105,Moriah et al. 2016,transwell assay with human induced pluripotent stem cell (iPSC)-derived hBMECs,"24 well (6.5 mm) Corning transwell polyester membranes with 0.4 μm pores, or glass rods, coated with a 50/50 mixture of 100 μg mL-1 collagen IV (Sigma) and 50 μg mL-1 fibronectin (Sigma). sub-cultured at a density of 1 x 10^6 cells mL-1",100
Amitriptyline,0.00000357,0.00000014,MDCK-MDR1,7.4,NA,2.8,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Antipyrine,0.00001935,0.00000343,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Caffeine,0.00002019,0.00000299,MDCK-MDR1,7.4,NA,1.1,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Carbamazepine,0.00001962,0.00000186,MDCK-MDR1,7.4,NA,1.4,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Chlorpromazine,0.00000618,0.00000071,MDCK-MDR1,7.4,NA,2.6,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Clonidine,0.00001587,0.00000139,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Desipramine,0.00000556,0.00000101,MDCK-MDR1,7.4,NA,6.7,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive. P-gp substrate,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Doxylamine,0.00000339,0.00000014,MDCK-MDR1,7.4,NA,11,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive. Not sure if this is a P-gp substrate,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Fluoxetine,0.00000808,0.00000081,MDCK-MDR1,7.4,NA,2.7,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Guanfacine,0.00000504,0.00000036,MDCK-MDR1,7.4,NA,3.1,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Indomethacin,0.00001367,0.00000152,MDCK-MDR1,7.4,NA,3.9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Positive,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Atenolol,0.00000013,0.00000003,MDCK-MDR1,7.4,NA,1.9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Bretylium tosylate,0.00000022,0.00000006,MDCK-MDR1,7.4,NA,5.1,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Cefuroxime,0.0000001,0.00000002,MDCK-MDR1,7.4,NA,1.2,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Chlorothiazide,0.00000025,0.00000006,MDCK-MDR1,7.4,NA,0.9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Furosemide,0.000000028,0.000000014,MDCK-MDR1,7.4,NA,1.2,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Lincomycin,0.0000001,0.00000004,MDCK-MDR1,7.4,NA,3.2,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Methotrexate,0.00000011,0.00000002,MDCK-MDR1,7.4,NA,1.8,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Ranitidine,0.00000016,0.00000004,MDCK-MDR1,7.4,NA,5.4,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Sulfasalazine,0.00000011,0.00000007,MDCK-MDR1,7.4,NA,1.3,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. ,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",50
Digoxin,0.00000028,0.00000012,MDCK-MDR1,7.4,NA,35,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Dipyridamole,0.0000003,0.00000009,MDCK-MDR1,7.4,NA,127,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Etoposide,0.00000013,0.000000001,MDCK-MDR1,7.4,NA,14,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Labetalol,0.0000003,0.00000007,MDCK-MDR1,7.4,NA,61,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Loperamide,0.00000018,0.00000003,MDCK-MDR1,7.4,NA,237,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Quinidine,0.00000034,0.00000006,MDCK-MDR1,7.4,NA,338,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Rhodamine 123,0.00000083,0.00000004,MDCK-MDR1,7.4,NA,9,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Vinblastine,0.0000004,0.00000017,MDCK-MDR1,7.4,NA,27,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Dipyridamole,0.00002009,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Loperamide,0.00001252,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Quinidine,0.00001077,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Etoposide,0.00000033,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Labetalol,0.00000134,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Vinblastine,0.00000123,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Digoxin,0.00000028,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Rhodamine 123,0.00000083,nan,MDCK-MDR1,7.4,P-gp inhibitor cyclosporin A (CsA) ,nan,10.1016/j.ijpharm.2004.10.007,Q.Wang et al. 2005,CNS Negative. P-gp substrates,"cells with passage numbers 24–33 were seeded at a density of 60,000 cells/cm 2 on rat-tail type I collagen-coated polycarbonate membranes in 12-well transwell plates",5
Antipyrine,0.0000518,0.0000015,rat BCEC,7.4,NA,0.88,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Caffeine,0.0000649,0.0000019,rat BCEC,7.4,NA,0.92,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Verapamil,0.0000234,0.0000022,rat BCEC,7.4,NA,1.36,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Indomethacin,0.0000336,0.0000013,rat BCEC,7.4,NA,1.31,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Quinidine,0.00000628,0.00000004,rat BCEC,7.4,NA,1.93,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Loperamide,0.0000156,0.0000023,rat BCEC,7.4,NA,1.4,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Atenolol,0.00000136,0.0000002,rat BCEC,7.4,NA,1.66,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive paracellular/efflux,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Vinblastine,0.00000242,0.00000097,rat BCEC,7.4,NA,0.57,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, MRP2 are the major efflux transporters. Efflux","cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Cimetidine,0.00000386,0.00000073,rat BCEC,7.4,NA,0.72,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, BCRP are the major efflux transporters, efflux","cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Digoxin,0.00000125,0.00000027,rat BCEC,7.4,NA,2.46,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp is the major efflux transporter, efflux","cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",10
Fluorescein-Na,0.00000272,0.00000003,rat BCEC,7.4,NA,nan,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive paracellular,"cells were seeded on collagen and fibronectin coated Costar Transwell polycarbonate membranes (12 mm diameter, 3 um pore size)",100
Antipyrine,0.0000823,0.0000035,Caco-2,7.4,NA,0.8,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Caffeine,0.0000847,0.000001,Caco-2,7.4,NA,0.94,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Verapamil,0.0000446,0.0000089,Caco-2,7.4,NA,1.33,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Indomethacin,0.0000509,0.0000014,Caco-2,7.4,NA,1.08,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Quinidine,0.0000402,0.0000037,Caco-2,7.4,NA,1.06,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Loperamide,0.0000181,0.0000012,Caco-2,7.4,NA,1.46,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Atenolol,0.00000083,0.00000019,Caco-2,7.4,NA,1.21,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive paracellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Vinblastine,0.00000697,0.00000095,Caco-2,7.4,NA,10.5,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, MRP2 are the major efflux transporters. Efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Cimetidine,0.00000197,0.00000024,Caco-2,7.4,NA,2.23,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp, BCRP are the major efflux transporters, efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Digoxin,0.0000065,0.00000042,Caco-2,7.4,NA,4.72,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,"P-gp is the major efflux transporter, efflux","seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Fluorescein-Na,0.00000134,0.00000029,Caco-2,7.4,NA,nan,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive paracellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",100
Antipyrine,0.0000781,0.0000025,VB-Caco-2,7.4,NA,0.97,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Caffeine,0.0000857,0.000003,VB-Caco-2,7.4,NA,0.84,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Verapamil,0.00004,0.0000079,VB-Caco-2,7.4,NA,1.6,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,P-gp is the major efflux transporter. passive transcellular/efflux,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
Indomethacin,0.0000503,0.0000005,VB-Caco-2,7.4,NA,1.1,10.1016/j.ejpb.2012.07.020,Hellinger et al 2012,passive transcellular,"seeded at 5x10^5 cells per 1.12 cm2 density on EC Matrix (ATCC, USA) covered Costar Trans-well inserts (polycarbonate, 12 mm diameter, 0.4 um pore size)",10
