Ketoprofen_94,Ketoprofen_95
3.314,3.077
2.621,2.487
2.195,2.125
1.889,1.86
1.675,1.673
1.524,1.538
1.417,1.444
1.346,1.376
1.305,1.341
1.28,1.317
1.265,1.302
1.255,1.299
1.253,1.298
1.252,1.297
1.251,1.297
1.251,1.297
1.253,1.3
1.257,1.3
1.259,1.3
1.261,1.302
1.263,1.303
1.264,1.306
1.266,1.305
1.266,1.304
1.265,1.304
1.265,1.303
1.265,1.303
1.267,1.303
1.269,1.304
1.272,1.307
1.277,1.309
1.281,1.312
1.282,1.316
1.285,1.316
1.286,1.318
1.286,1.318
1.286,1.317
1.283,1.315
1.282,1.314
1.279,1.311
1.277,1.308
1.275,1.304
1.274,1.301
1.27,1.299
1.267,1.295
1.263,1.291
1.261,1.29
1.259,1.29
1.259,1.289
1.258,1.289
1.257,1.288
1.255,1.283
1.255,1.282
1.253,1.28
1.25,1.28
1.245,1.278
1.243,1.273
1.238,1.271
1.232,1.266
1.228,1.262
1.224,1.258
1.221,1.252
1.215,1.25
1.212,1.248
1.21,1.248
1.209,1.248
1.207,1.249
1.207,1.249
1.209,1.25
1.216,1.255
1.234,1.264
1.268,1.287
1.333,1.336
1.429,1.421
1.569,1.543
1.578,1.585
1.492,1.478
1.352,1.332
1.166,1.13
0.932,0.885
0.633,0.566
0.063,0.233
-0.464,-0.052
-0.892,-0.265
-1.19,-0.377
-1.337,-0.404
-1.402,-0.404
-1.397,-0.396
-1.397,-0.293
-1.327,-0.097
-1.158,0.188
-0.889,0.505
-0.61,0.797
-0.311,0.862
-0.007,0.928
0.313,1.005
0.669,0.904
1.031,0.827
1.345,0.782
1.613,0.765
1.758,0.76
1.757,0.76
1.758,0.763
1.521,0.789
1.2,0.854
0.841,0.95
0.49,1.051
0.14,1.023
-0.184,0.93
-0.497,0.873
-0.793,0.656
-1.035,0.31
-1.286,-0.012
-1.374,-0.246
-1.398,-0.381
-1.398,-0.424
-1.371,-0.424
-1.259,-0.404
-1.021,-0.315
-0.639,-0.141
-0.129,0.115
0.473,0.435
0.818,0.773
1.068,1.031
1.27,1.258
1.425,1.43
1.536,1.548
1.584,1.6
1.458,1.456
1.345,1.357
1.267,1.297
1.226,1.266
1.205,1.252
1.192,1.243
1.188,1.237
1.185,1.235
1.183,1.234
1.183,1.234
1.183,1.234
1.185,1.234
1.189,1.238
1.194,1.243
1.199,1.247
1.202,1.252
1.205,1.255
1.211,1.258
1.213,1.261
1.217,1.263
1.22,1.263
1.22,1.265
1.221,1.267
1.227,1.27
1.229,1.274
1.231,1.276
1.234,1.278
1.236,1.281
1.239,1.282
1.239,1.285
1.239,1.285
1.24,1.284
1.242,1.285
1.243,1.286
1.244,1.288
1.245,1.289
1.246,1.29
1.248,1.291
1.248,1.292
1.249,1.291
1.247,1.291
1.247,1.291
1.245,1.288
1.242,1.285
1.241,1.284
1.241,1.284
1.242,1.285
1.242,1.285
1.245,1.286
1.248,1.288
1.251,1.292
1.254,1.295
1.257,1.298
1.261,1.3
1.265,1.302
1.266,1.305
1.269,1.307
1.272,1.31
1.272,1.31
1.275,1.311
1.276,1.312
1.277,1.313
1.277,1.314
1.279,1.314
1.278,1.314
1.279,1.314
1.284,1.32
1.296,1.333
1.315,1.349
1.345,1.376
1.394,1.418
1.479,1.496
1.622,1.62
1.83,1.803
2.138,2.077
2.663,2.514
9999.983,10000.0
