lgfe_0,lgfe_1,lgfe_2,lgfe_3,lgfe_4,lgfe_5,lgfe_6,lgfe_7,lgfe_8,lgfe_9,lgfe_10,lgfe_11,lgfe_12,lgfe_13,lgfe_14,lgfe_15,lgfe_16,lgfe_17,lgfe_18,lgfe_19,lgfe_20,lgfe_21,lgfe_22,lgfe_23,lgfe_24,lgfe_25,lgfe_26,lgfe_27,lgfe_28,lgfe_29,lgfe_30,lgfe_31,lgfe_32,lgfe_33,lgfe_34,lgfe_35,lgfe_36,lgfe_37,lgfe_38,lgfe_39,lgfe_40,lgfe_41,lgfe_42,lgfe_43,lgfe_44,lgfe_45,lgfe_46,lgfe_47,lgfe_48,lgfe_49,lgfe_50,lgfe_51,lgfe_52,lgfe_53,lgfe_54,lgfe_55,lgfe_56,lgfe_57,lgfe_58,lgfe_59,lgfe_60,lgfe_61,lgfe_62,lgfe_63,lgfe_64,lgfe_65,lgfe_66,lgfe_67,lgfe_68,lgfe_69,lgfe_70,lgfe_71,lgfe_72,lgfe_73,lgfe_74,lgfe_75,lgfe_76,lgfe_77,lgfe_78,lgfe_79,lgfe_80,lgfe_81,lgfe_82,lgfe_83,lgfe_84,lgfe_85,lgfe_86,lgfe_87,lgfe_88,lgfe_89,lgfe_90,lgfe_91,lgfe_92,lgfe_93,lgfe_94,lgfe_95,lgfe_96,lgfe_97,lgfe_98,lgfe_99,lgfe_100,lgfe_101,lgfe_102,lgfe_103,lgfe_104,lgfe_105,lgfe_106,lgfe_107,lgfe_108,lgfe_109,lgfe_110,lgfe_111,lgfe_112,lgfe_113,lgfe_114,lgfe_115,lgfe_116,lgfe_117,lgfe_118,lgfe_119,lgfe_120,lgfe_121,lgfe_122,lgfe_123,lgfe_124,lgfe_125,lgfe_126,lgfe_127,lgfe_128,lgfe_129,lgfe_130,lgfe_131,lgfe_132,lgfe_133,lgfe_134,lgfe_135,lgfe_136,lgfe_137,lgfe_138,lgfe_139,lgfe_140,lgfe_141,lgfe_142,lgfe_143,lgfe_144,lgfe_145,lgfe_146,lgfe_147,lgfe_148,lgfe_149,lgfe_150,lgfe_151,lgfe_152,lgfe_153,lgfe_154,lgfe_155,lgfe_156,lgfe_157,lgfe_158,lgfe_159,lgfe_160,lgfe_161,lgfe_162,lgfe_163,lgfe_164,lgfe_165,lgfe_166,lgfe_167,lgfe_168,lgfe_169,lgfe_170,lgfe_171,lgfe_172,lgfe_173,lgfe_174,lgfe_175,lgfe_176,lgfe_177,lgfe_178,lgfe_179,lgfe_180,lgfe_181,lgfe_182,lgfe_183,lgfe_184,Molecule,log10_P_app
1.125,1.129,1.131,1.133,1.138,1.138,1.138,1.139,1.136,1.135,1.131,1.125,1.122,1.121,1.117,1.109,1.108,1.106,1.099,1.098,1.097,1.098,1.097,1.097,1.096,1.096,1.094,1.093,1.093,1.09,1.089,1.087,1.086,1.083,1.083,1.083,1.083,1.086,1.086,1.087,1.09,1.094,1.096,1.092,1.09,1.088,1.087,1.087,1.088,1.086,1.084,1.083,1.083,1.082,1.083,1.08,1.079,1.078,1.078,1.075,1.074,1.074,1.083,1.112,1.183,1.31,1.509,1.492,1.402,1.289,1.14,0.953,0.767,0.402,-0.059,-0.585,-0.932,-1.057,-1.057,-1.004,-0.777,-0.208,0.631,1.609,2.744,4.151,4.605,5.431,5.759,6.176,6.602,7.175,7.156,6.724,6.26,5.84,5.495,4.961,4.223,3.031,1.859,0.648,-0.088,-0.641,-0.926,-1.0,-1.0,-0.91,-0.6,-0.108,0.375,0.733,0.916,1.105,1.237,1.325,1.427,1.497,1.299,1.154,1.077,1.031,1.014,1.011,1.009,1.01,1.012,1.016,1.021,1.025,1.029,1.031,1.031,1.035,1.035,1.039,1.042,1.043,1.043,1.044,1.046,1.048,1.048,1.049,1.052,1.055,1.058,1.06,1.063,1.066,1.069,1.069,1.069,1.072,1.076,1.08,1.082,1.086,1.09,1.091,1.096,1.097,1.099,1.101,1.102,1.104,1.106,1.109,1.113,1.114,1.115,1.116,1.115,1.117,1.119,1.121,1.123,1.123,1.124,1.127,1.127,1.128,1.129,1.13,1.131,Atenolol,-6.886056647693163
0.524,0.527,0.529,0.53,0.53,0.531,0.531,0.529,0.526,0.522,0.517,0.512,0.507,0.506,0.503,0.501,0.498,0.493,0.493,0.493,0.493,0.491,0.491,0.49,0.49,0.49,0.489,0.488,0.488,0.488,0.486,0.482,0.48,0.479,0.478,0.478,0.479,0.48,0.481,0.485,0.486,0.486,0.486,0.487,0.484,0.482,0.478,0.475,0.474,0.471,0.47,0.47,0.47,0.475,0.476,0.48,0.482,0.485,0.487,0.5,0.51,0.534,0.57,0.632,0.723,0.844,1.002,1.175,1.383,1.604,1.834,1.91,1.645,1.368,1.149,1.105,1.105,1.112,1.3,1.649,2.182,2.91,3.824,4.946,6.106,7.34,8.556,9.653,10.52,11.079,11.41,11.585,11.689,11.712,11.425,10.892,10.052,8.975,7.736,6.453,5.247,4.092,3.141,2.395,1.871,1.425,1.211,1.192,1.192,1.2,1.379,1.647,1.912,1.834,1.613,1.398,1.185,1.015,0.848,0.723,0.627,0.558,0.515,0.486,0.47,0.462,0.454,0.452,0.452,0.452,0.453,0.453,0.458,0.461,0.463,0.463,0.463,0.464,0.466,0.467,0.467,0.468,0.469,0.47,0.472,0.474,0.475,0.476,0.477,0.477,0.477,0.477,0.48,0.484,0.485,0.488,0.491,0.494,0.495,0.495,0.495,0.495,0.494,0.494,0.494,0.494,0.495,0.497,0.499,0.5,0.502,0.503,0.507,0.511,0.512,0.514,0.514,0.514,0.516,0.52,0.52,0.522,0.52,0.518,0.516,Caffeine,-4.69486368105636
0.964,0.968,0.97,0.973,0.974,0.976,0.978,0.977,0.976,0.974,0.971,0.969,0.968,0.965,0.964,0.96,0.958,0.954,0.952,0.952,0.953,0.953,0.952,0.952,0.952,0.952,0.951,0.951,0.949,0.948,0.947,0.944,0.942,0.94,0.94,0.94,0.94,0.94,0.941,0.944,0.945,0.945,0.945,0.946,0.944,0.942,0.94,0.938,0.935,0.933,0.933,0.933,0.934,0.934,0.934,0.933,0.932,0.931,0.929,0.926,0.924,0.924,0.925,0.936,0.971,1.04,1.152,1.32,1.515,1.65,1.606,1.286,0.867,0.395,-0.067,-0.457,-0.743,-0.904,-0.966,-0.966,-0.911,-0.783,-0.52,-0.126,0.372,0.943,1.546,2.177,2.758,3.319,3.723,4.053,4.176,3.882,3.479,2.9,2.334,1.691,1.072,0.492,-0.012,-0.424,-0.704,-0.856,-0.916,-0.916,-0.879,-0.731,-0.475,-0.1,0.346,0.808,1.216,1.55,1.653,1.525,1.331,1.161,1.046,0.963,0.914,0.899,0.89,0.889,0.89,0.893,0.896,0.898,0.9,0.9,0.904,0.908,0.912,0.917,0.919,0.922,0.923,0.923,0.926,0.927,0.927,0.927,0.929,0.931,0.932,0.935,0.938,0.941,0.94,0.94,0.939,0.939,0.939,0.94,0.941,0.944,0.945,0.947,0.951,0.952,0.953,0.954,0.953,0.953,0.954,0.955,0.955,0.957,0.958,0.958,0.96,0.962,0.964,0.966,0.967,0.969,0.97,0.97,0.97,0.971,0.974,0.972,0.972,0.972,0.973,Carbamazepine,-4.707300996956071
0.229,0.232,0.236,0.24,0.241,0.24,0.24,0.235,0.231,0.229,0.222,0.215,0.213,0.21,0.206,0.205,0.202,0.2,0.196,0.194,0.194,0.195,0.193,0.192,0.192,0.192,0.191,0.189,0.187,0.184,0.184,0.182,0.18,0.176,0.174,0.174,0.175,0.175,0.176,0.181,0.182,0.182,0.181,0.179,0.178,0.174,0.168,0.164,0.162,0.154,0.151,0.148,0.142,0.124,0.115,0.104,0.091,0.08,0.076,0.076,0.075,0.078,0.104,0.159,0.274,0.454,0.758,1.186,1.72,2.099,2.303,2.41,2.232,1.908,1.51,1.228,1.164,1.173,1.226,1.554,2.22,3.247,4.456,5.919,7.414,9.039,10.469,11.823,13.118,14.094,15.28,16.1,16.019,15.292,14.338,13.021,12.234,10.908,9.568,7.755,6.242,4.731,3.488,2.459,1.758,1.378,1.29,1.29,1.326,1.564,1.929,2.235,2.435,2.327,2.133,1.765,1.234,0.79,0.482,0.261,0.138,0.069,0.037,0.027,0.027,0.028,0.035,0.049,0.066,0.083,0.095,0.111,0.128,0.139,0.143,0.148,0.154,0.156,0.157,0.159,0.159,0.161,0.161,0.165,0.167,0.17,0.172,0.175,0.177,0.175,0.175,0.175,0.175,0.179,0.184,0.188,0.192,0.193,0.193,0.196,0.2,0.203,0.204,0.205,0.207,0.208,0.21,0.215,0.22,0.223,0.226,0.23,0.236,0.238,0.242,0.245,0.246,0.249,0.251,0.252,0.249,0.248,0.248,0.246,0.245,Furosemide,-7.552841968657781
2.04,2.043,2.047,2.05,2.055,2.057,2.059,2.061,2.059,2.056,2.053,2.051,2.049,2.047,2.044,2.039,2.036,2.029,2.026,2.024,2.024,2.025,2.025,2.024,2.024,2.023,2.022,2.02,2.018,2.016,2.015,2.013,2.011,2.01,2.009,2.009,2.01,2.011,2.013,2.015,2.018,2.02,2.021,2.022,2.022,2.02,2.02,2.021,2.021,2.022,2.023,2.024,2.025,2.026,2.027,2.031,2.032,2.034,2.035,2.037,2.038,2.045,2.055,2.066,2.101,2.18,2.316,2.507,2.514,2.339,1.988,1.43,0.736,-0.17,-1.073,-1.8,-2.375,-2.794,-3.019,-3.115,-3.126,-3.122,-3.096,-2.986,-2.862,-2.772,-2.68,-2.605,-2.529,-2.53,-2.551,-2.556,-2.556,-2.55,-2.526,-2.51,-2.59,-2.666,-2.751,-2.846,-2.958,-3.082,-3.121,-3.115,-3.111,-3.04,-2.837,-2.443,-1.89,-1.176,-0.303,0.603,1.306,1.888,2.257,2.445,2.489,2.298,2.156,2.063,2.01,1.988,1.977,1.966,1.96,1.96,1.96,1.96,1.959,1.959,1.959,1.96,1.963,1.964,1.966,1.967,1.966,1.966,1.966,1.967,1.967,1.969,1.97,1.972,1.976,1.981,1.987,1.991,1.993,1.993,1.993,1.994,1.993,1.994,1.995,2.0,2.003,2.006,2.008,2.011,2.015,2.016,2.016,2.016,2.017,2.018,2.02,2.021,2.022,2.023,2.025,2.026,2.026,2.026,2.026,2.026,2.025,2.027,2.027,2.029,2.031,2.032,2.034,2.038,2.04,Amitriptyline,-5.447331783887806
0.839,0.843,0.846,0.847,0.85,0.851,0.85,0.849,0.85,0.847,0.84,0.837,0.836,0.834,0.831,0.829,0.828,0.824,0.823,0.824,0.822,0.822,0.822,0.822,0.822,0.821,0.821,0.821,0.82,0.819,0.818,0.814,0.811,0.81,0.809,0.809,0.81,0.81,0.811,0.812,0.813,0.815,0.816,0.813,0.811,0.81,0.808,0.806,0.801,0.799,0.798,0.797,0.797,0.798,0.798,0.798,0.796,0.796,0.794,0.792,0.792,0.792,0.797,0.82,0.867,0.954,1.081,1.265,1.462,1.626,1.741,1.679,1.384,0.973,0.545,0.214,-0.015,-0.098,-0.095,-0.091,-0.001,0.204,0.566,1.056,1.642,2.282,2.942,3.6,4.233,4.722,5.028,5.164,5.216,5.176,4.916,4.459,3.82,3.141,2.452,1.784,1.18,0.684,0.312,0.087,-0.015,-0.027,-0.029,0.035,0.236,0.544,0.95,1.353,1.649,1.733,1.626,1.471,1.279,1.096,0.954,0.864,0.808,0.777,0.761,0.76,0.76,0.762,0.763,0.764,0.768,0.771,0.775,0.778,0.783,0.788,0.79,0.792,0.796,0.796,0.798,0.798,0.799,0.802,0.802,0.802,0.805,0.807,0.81,0.811,0.812,0.812,0.811,0.811,0.811,0.813,0.816,0.817,0.818,0.82,0.824,0.823,0.823,0.824,0.824,0.824,0.823,0.824,0.824,0.825,0.826,0.828,0.83,0.832,0.836,0.837,0.837,0.841,0.841,0.842,0.844,0.845,0.847,0.845,0.843,0.84,0.84,Antipyrine,-4.71331903064507
1.538,1.542,1.547,1.553,1.557,1.56,1.561,1.562,1.556,1.553,1.546,1.544,1.541,1.539,1.531,1.53,1.525,1.52,1.518,1.517,1.517,1.517,1.516,1.515,1.515,1.514,1.514,1.513,1.511,1.51,1.508,1.505,1.505,1.501,1.501,1.5,1.501,1.502,1.504,1.506,1.508,1.509,1.512,1.51,1.509,1.508,1.506,1.505,1.502,1.499,1.498,1.498,1.499,1.498,1.5,1.503,1.508,1.509,1.51,1.512,1.519,1.534,1.546,1.583,1.661,1.8,2.017,2.302,2.61,2.805,2.56,1.899,1.157,0.353,-0.397,-1.051,-1.654,-2.011,-2.158,-2.142,-2.126,-2.015,-1.676,-1.183,-0.602,-0.112,0.331,0.66,0.934,1.233,1.605,2.035,2.153,1.698,1.328,1.014,0.735,0.416,-0.018,-0.499,-1.086,-1.595,-1.932,-2.083,-2.12,-2.12,-2.007,-1.671,-1.106,-0.503,0.261,1.046,1.825,2.437,2.758,2.611,2.314,2.002,1.785,1.628,1.533,1.483,1.455,1.436,1.431,1.428,1.428,1.428,1.429,1.431,1.434,1.437,1.439,1.445,1.447,1.449,1.452,1.452,1.452,1.452,1.452,1.453,1.455,1.457,1.461,1.465,1.469,1.474,1.479,1.479,1.48,1.48,1.48,1.48,1.483,1.487,1.49,1.495,1.5,1.503,1.507,1.51,1.511,1.512,1.513,1.516,1.518,1.521,1.522,1.525,1.527,1.53,1.533,1.537,1.537,1.537,1.539,1.541,1.543,1.544,1.547,1.547,1.547,1.548,1.549,Rhodamine_123,-6.080921907623926
1.307,1.31,1.315,1.315,1.317,1.316,1.318,1.316,1.315,1.314,1.309,1.306,1.304,1.299,1.299,1.298,1.294,1.288,1.283,1.281,1.279,1.278,1.278,1.279,1.277,1.277,1.275,1.271,1.271,1.266,1.265,1.262,1.261,1.259,1.256,1.255,1.256,1.258,1.26,1.263,1.263,1.262,1.256,1.255,1.254,1.249,1.246,1.243,1.241,1.235,1.232,1.224,1.214,1.204,1.197,1.19,1.191,1.191,1.194,1.194,1.194,1.201,1.214,1.252,1.335,1.487,1.377,1.19,0.922,0.635,0.428,0.294,0.24,0.097,-0.261,-0.774,-1.138,-1.306,-1.292,-1.251,-1.156,-0.807,-0.376,0.303,1.21,2.181,3.638,4.593,5.314,6.136,7.11,7.936,8.08,7.205,6.396,5.756,4.913,3.91,2.633,1.46,0.472,-0.226,-0.766,-1.07,-1.244,-1.264,-1.252,-1.166,-0.827,-0.366,0.029,0.183,0.231,0.346,0.558,0.803,1.092,1.294,1.454,1.279,1.185,1.137,1.12,1.104,1.103,1.099,1.099,1.1,1.104,1.117,1.123,1.125,1.133,1.152,1.17,1.175,1.175,1.191,1.193,1.195,1.203,1.205,1.21,1.217,1.223,1.226,1.232,1.234,1.237,1.24,1.24,1.24,1.241,1.244,1.247,1.253,1.255,1.259,1.263,1.265,1.268,1.27,1.27,1.274,1.275,1.277,1.279,1.283,1.286,1.29,1.292,1.293,1.294,1.295,1.298,1.298,1.298,1.301,1.302,1.301,1.301,1.302,1.305,1.306,1.307,Labetalol,-6.522878745280337
-0.082,-0.082,-0.078,-0.075,-0.072,-0.071,-0.07,-0.071,-0.078,-0.08,-0.083,-0.089,-0.09,-0.094,-0.095,-0.095,-0.096,-0.099,-0.1,-0.102,-0.102,-0.101,-0.103,-0.103,-0.103,-0.102,-0.102,-0.101,-0.101,-0.101,-0.104,-0.104,-0.105,-0.11,-0.111,-0.112,-0.112,-0.111,-0.109,-0.109,-0.108,-0.108,-0.108,-0.108,-0.109,-0.114,-0.118,-0.121,-0.125,-0.129,-0.135,-0.137,-0.139,-0.14,-0.14,-0.14,-0.14,-0.138,-0.137,-0.135,-0.132,-0.12,-0.086,-0.022,0.087,0.263,0.51,0.856,1.28,1.712,1.827,1.734,1.667,1.375,0.859,0.59,0.444,0.444,0.444,0.645,1.079,1.815,2.794,3.866,4.994,6.013,6.965,7.853,8.461,9.076,9.476,9.793,9.814,9.596,9.319,8.731,8.046,7.157,6.215,5.191,4.061,2.971,1.993,1.245,0.781,0.555,0.553,0.553,0.609,0.882,1.35,1.702,1.764,1.875,1.751,1.33,0.899,0.545,0.269,0.084,-0.043,-0.111,-0.155,-0.178,-0.178,-0.178,-0.178,-0.176,-0.171,-0.168,-0.166,-0.157,-0.15,-0.145,-0.142,-0.138,-0.137,-0.134,-0.133,-0.134,-0.134,-0.134,-0.133,-0.133,-0.133,-0.129,-0.127,-0.125,-0.121,-0.124,-0.124,-0.124,-0.124,-0.123,-0.121,-0.117,-0.113,-0.111,-0.111,-0.106,-0.103,-0.101,-0.1,-0.1,-0.1,-0.097,-0.093,-0.089,-0.086,-0.082,-0.078,-0.075,-0.069,-0.067,-0.063,-0.061,-0.058,-0.058,-0.055,-0.054,-0.055,-0.055,-0.056,-0.058,-0.058,Chlorothiazide,-6.6020599913279625
1.519,1.522,1.528,1.531,1.534,1.539,1.54,1.536,1.535,1.533,1.531,1.529,1.528,1.525,1.519,1.513,1.512,1.512,1.508,1.507,1.508,1.507,1.507,1.507,1.506,1.506,1.505,1.504,1.503,1.501,1.501,1.499,1.497,1.496,1.496,1.496,1.497,1.498,1.498,1.5,1.501,1.503,1.506,1.506,1.506,1.506,1.505,1.502,1.502,1.501,1.501,1.5,1.5,1.501,1.5,1.5,1.496,1.494,1.493,1.493,1.49,1.49,1.49,1.499,1.529,1.592,1.708,1.836,1.929,1.642,1.259,0.81,0.293,-0.197,-0.75,-1.212,-1.552,-1.829,-1.977,-1.99,-1.995,-1.994,-1.921,-1.783,-1.589,-1.306,-0.944,-0.536,-0.122,0.248,0.642,1.08,1.205,0.735,0.341,-0.039,-0.457,-0.868,-1.229,-1.528,-1.734,-1.871,-1.964,-1.982,-1.966,-1.93,-1.865,-1.629,-1.237,-0.807,-0.263,0.201,0.705,1.169,1.546,1.868,1.818,1.693,1.576,1.5,1.456,1.44,1.435,1.435,1.436,1.439,1.439,1.44,1.445,1.449,1.45,1.45,1.453,1.456,1.456,1.455,1.455,1.455,1.455,1.455,1.456,1.458,1.458,1.46,1.462,1.465,1.469,1.471,1.474,1.476,1.478,1.476,1.476,1.478,1.481,1.482,1.484,1.488,1.491,1.494,1.495,1.498,1.499,1.501,1.501,1.503,1.503,1.504,1.505,1.507,1.508,1.511,1.513,1.513,1.513,1.513,1.513,1.513,1.515,1.516,1.516,1.519,1.52,1.522,1.524,Fluoxetine,-5.092588639225414
