lgfe_0,lgfe_1,lgfe_2,lgfe_3,lgfe_4,lgfe_5,lgfe_6,lgfe_7,lgfe_8,lgfe_9,lgfe_10,lgfe_11,lgfe_12,lgfe_13,lgfe_14,lgfe_15,lgfe_16,lgfe_17,lgfe_18,lgfe_19,lgfe_20,lgfe_21,lgfe_22,lgfe_23,lgfe_24,lgfe_25,lgfe_26,lgfe_27,lgfe_28,lgfe_29,lgfe_30,lgfe_31,lgfe_32,lgfe_33,lgfe_34,lgfe_35,lgfe_36,lgfe_37,lgfe_38,lgfe_39,lgfe_40,lgfe_41,lgfe_42,lgfe_43,lgfe_44,lgfe_45,lgfe_46,lgfe_47,lgfe_48,lgfe_49,lgfe_50,lgfe_51,lgfe_52,lgfe_53,lgfe_54,lgfe_55,lgfe_56,lgfe_57,lgfe_58,lgfe_59,lgfe_60,lgfe_61,lgfe_62,lgfe_63,lgfe_64,lgfe_65,lgfe_66,lgfe_67,lgfe_68,lgfe_69,lgfe_70,lgfe_71,lgfe_72,lgfe_73,lgfe_74,lgfe_75,lgfe_76,lgfe_77,lgfe_78,lgfe_79,lgfe_80,lgfe_81,lgfe_82,lgfe_83,lgfe_84,lgfe_85,lgfe_86,lgfe_87,lgfe_88,lgfe_89,lgfe_90,lgfe_91,lgfe_92,lgfe_93,lgfe_94,lgfe_95,lgfe_96,lgfe_97,lgfe_98,lgfe_99,lgfe_100,lgfe_101,lgfe_102,lgfe_103,lgfe_104,lgfe_105,lgfe_106,lgfe_107,lgfe_108,lgfe_109,lgfe_110,lgfe_111,lgfe_112,lgfe_113,lgfe_114,lgfe_115,lgfe_116,lgfe_117,lgfe_118,lgfe_119,lgfe_120,lgfe_121,lgfe_122,lgfe_123,lgfe_124,lgfe_125,lgfe_126,lgfe_127,lgfe_128,lgfe_129,lgfe_130,lgfe_131,lgfe_132,lgfe_133,lgfe_134,lgfe_135,lgfe_136,lgfe_137,lgfe_138,lgfe_139,lgfe_140,lgfe_141,lgfe_142,lgfe_143,lgfe_144,lgfe_145,lgfe_146,lgfe_147,lgfe_148,lgfe_149,lgfe_150,lgfe_151,lgfe_152,lgfe_153,lgfe_154,lgfe_155,lgfe_156,lgfe_157,lgfe_158,lgfe_159,lgfe_160,lgfe_161,lgfe_162,lgfe_163,lgfe_164,lgfe_165,lgfe_166,lgfe_167,lgfe_168,lgfe_169,lgfe_170,lgfe_171,lgfe_172,lgfe_173,lgfe_174,lgfe_175,lgfe_176,lgfe_177,lgfe_178,lgfe_179,lgfe_180,lgfe_181,lgfe_182,lgfe_183,lgfe_184,Molecule,log10_P_app
1.125,1.129,1.131,1.133,1.138,1.138,1.138,1.139,1.136,1.135,1.131,1.125,1.122,1.121,1.117,1.109,1.108,1.106,1.099,1.098,1.097,1.098,1.097,1.097,1.096,1.096,1.094,1.093,1.093,1.09,1.089,1.087,1.086,1.083,1.083,1.083,1.083,1.086,1.086,1.087,1.09,1.094,1.096,1.092,1.09,1.088,1.087,1.087,1.088,1.086,1.084,1.083,1.083,1.082,1.083,1.08,1.079,1.078,1.078,1.075,1.074,1.074,1.083,1.112,1.183,1.31,1.509,1.492,1.402,1.289,1.14,0.953,0.767,0.402,-0.059,-0.585,-0.932,-1.057,-1.057,-1.004,-0.777,-0.208,0.631,1.609,2.744,4.151,4.605,5.431,5.759,6.176,6.602,7.175,7.156,6.724,6.26,5.84,5.495,4.961,4.223,3.031,1.859,0.648,-0.088,-0.641,-0.926,-1.0,-1.0,-0.91,-0.6,-0.108,0.375,0.733,0.916,1.105,1.237,1.325,1.427,1.497,1.299,1.154,1.077,1.031,1.014,1.011,1.009,1.01,1.012,1.016,1.021,1.025,1.029,1.031,1.031,1.035,1.035,1.039,1.042,1.043,1.043,1.044,1.046,1.048,1.048,1.049,1.052,1.055,1.058,1.06,1.063,1.066,1.069,1.069,1.069,1.072,1.076,1.08,1.082,1.086,1.09,1.091,1.096,1.097,1.099,1.101,1.102,1.104,1.106,1.109,1.113,1.114,1.115,1.116,1.115,1.117,1.119,1.121,1.123,1.123,1.124,1.127,1.127,1.128,1.129,1.13,1.131,Atenolol,-6.236572006437063
0.524,0.527,0.529,0.53,0.53,0.531,0.531,0.529,0.526,0.522,0.517,0.512,0.507,0.506,0.503,0.501,0.498,0.493,0.493,0.493,0.493,0.491,0.491,0.49,0.49,0.49,0.489,0.488,0.488,0.488,0.486,0.482,0.48,0.479,0.478,0.478,0.479,0.48,0.481,0.485,0.486,0.486,0.486,0.487,0.484,0.482,0.478,0.475,0.474,0.471,0.47,0.47,0.47,0.475,0.476,0.48,0.482,0.485,0.487,0.5,0.51,0.534,0.57,0.632,0.723,0.844,1.002,1.175,1.383,1.604,1.834,1.91,1.645,1.368,1.149,1.105,1.105,1.112,1.3,1.649,2.182,2.91,3.824,4.946,6.106,7.34,8.556,9.653,10.52,11.079,11.41,11.585,11.689,11.712,11.425,10.892,10.052,8.975,7.736,6.453,5.247,4.092,3.141,2.395,1.871,1.425,1.211,1.192,1.192,1.2,1.379,1.647,1.912,1.834,1.613,1.398,1.185,1.015,0.848,0.723,0.627,0.558,0.515,0.486,0.47,0.462,0.454,0.452,0.452,0.452,0.453,0.453,0.458,0.461,0.463,0.463,0.463,0.464,0.466,0.467,0.467,0.468,0.469,0.47,0.472,0.474,0.475,0.476,0.477,0.477,0.477,0.477,0.48,0.484,0.485,0.488,0.491,0.494,0.495,0.495,0.495,0.495,0.494,0.494,0.494,0.494,0.495,0.497,0.499,0.5,0.502,0.503,0.507,0.511,0.512,0.514,0.514,0.514,0.516,0.52,0.52,0.522,0.52,0.518,0.516,Caffeine,-4.100726812682396
0.839,0.843,0.846,0.847,0.85,0.851,0.85,0.849,0.85,0.847,0.84,0.837,0.836,0.834,0.831,0.829,0.828,0.824,0.823,0.824,0.822,0.822,0.822,0.822,0.822,0.821,0.821,0.821,0.82,0.819,0.818,0.814,0.811,0.81,0.809,0.809,0.81,0.81,0.811,0.812,0.813,0.815,0.816,0.813,0.811,0.81,0.808,0.806,0.801,0.799,0.798,0.797,0.797,0.798,0.798,0.798,0.796,0.796,0.794,0.792,0.792,0.792,0.797,0.82,0.867,0.954,1.081,1.265,1.462,1.626,1.741,1.679,1.384,0.973,0.545,0.214,-0.015,-0.098,-0.095,-0.091,-0.001,0.204,0.566,1.056,1.642,2.282,2.942,3.6,4.233,4.722,5.028,5.164,5.216,5.176,4.916,4.459,3.82,3.141,2.452,1.784,1.18,0.684,0.312,0.087,-0.015,-0.027,-0.029,0.035,0.236,0.544,0.95,1.353,1.649,1.733,1.626,1.471,1.279,1.096,0.954,0.864,0.808,0.777,0.761,0.76,0.76,0.762,0.763,0.764,0.768,0.771,0.775,0.778,0.783,0.788,0.79,0.792,0.796,0.796,0.798,0.798,0.799,0.802,0.802,0.802,0.805,0.807,0.81,0.811,0.812,0.812,0.811,0.811,0.811,0.813,0.816,0.817,0.818,0.82,0.824,0.823,0.823,0.824,0.824,0.824,0.823,0.824,0.824,0.825,0.826,0.828,0.83,0.832,0.836,0.837,0.837,0.841,0.841,0.842,0.844,0.845,0.847,0.845,0.843,0.84,0.84,Antipyrine,-4.139063379299906
