Parent	popc-chol_P_app_including_protomers_lgfe-cMdr1_KO_MDCK1-beran.csv	popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Hellinger.csv	popc-chol_P_app_including_protomers_lgfe-MDCK-Hellinger.csv	popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-QWang.csv	popc-chol_P_app_including_protomers_lgfe-MDCK-Irvine.csv	popc-chol_P_app_including_protomers_lgfe-MDCK-MDR1-Summerfield.csv
Furosemide	-6.508638306165727	-6.154901959985743		-7.552841968657781	-6.2076083105017466	
Antipyrine	-4.412625827926934	-4.127261172527331	-4.139063379299906	-4.71331903064507	-3.823908740944319	
Carbamazepine	-4.323855319643794			-4.707300996956071		-4.510041520575165
Terbutaline	-6.958607314841775				-6.0	
Metoprolol	-4.583193128177055	-4.172630726946175			-3.823908740944319	
Atenolol	-6.229147988357856	-6.366531544420414	-6.236572006437063	-6.886056647693163	-5.7447274948966935	
Ketoprofen	-4.976747540366288				-4.698970004336019	
Acetaminophen	-5.0195421077239	-4.628932137728264			-4.455931955649724	
Propranolol	-4.619969752032169	-4.52432881167557			-3.769551078621726	
Donepezil		-4.414539270491499				-4.471083299722345
Labetalol		-5.468521082957745		-6.522878745280337	-4.6020599913279625	
Rhodamine_123		-6.698970004336019		-6.080921907623926		
Diazepam		-4.218244625347531				-4.333482019445119
Lisinopril		-5.161150909262744			-6.7447274948966935	
Guanabenz		-4.36251027048749			-3.721246399047171	
Phenytoin		-4.335358024443875			-3.9208187539523753	-4.565431095965801
Alprenolol		-4.437707135543525			-3.795880017344075	
Risperidone		-4.534617148551582				-4.522878745280337
Salicylic_Acid		-5.031517051446065			-5.0	
Sulfasalazine		-6.3979400086720375		-6.958607314841775	-6.318758762624412	
Dexamethasone		-5.2076083105017466			-4.698970004336019	
Lamotrigine		-4.288192770958809			-4.055517327849832	-4.701146923590294
Caffeine		-4.105130343254747	-4.100726812682396	-4.69486368105636		
Chlorothiazide		-6.154901959985743		-6.6020599913279625	-6.522878745280337	
Corticosterone		-4.235077015350112			-3.853871964321762	
Hydrocortisone		-4.790484985457369			-4.508638306165727	
Progesterone		-4.394694953858891			-3.795880017344075	
Warfarin		-4.3788237182249645			-4.356547323513813	
Venlafaxine		-4.454692883534176				-4.931814138253839
Fluoxetine				-5.092588639225414		-5.1938200260161125
Cefuroxime				-7.0	-6.795880017344075	
Amitriptyline				-5.447331783887806		-5.008773924307505
Chlorpromazine				-5.209011524911184		-5.130768280269024
Bupropion					-3.886056647693163	-4.323306390375134
Sumatriptan					-5.721246399047171	-6.3979400086720375
Gabapentin					-6.443697499232713	-6.3979400086720375
