Glycerol_85
1.659
1.266
0.945
0.713
0.547
0.429
0.351
0.297
0.26
0.247
0.239
0.23
0.225
0.223
0.221
0.221
0.223
0.226
0.231
0.234
0.234
0.237
0.239
0.24
0.241
0.241
0.241
0.244
0.244
0.245
0.246
0.245
0.246
0.247
0.248
0.246
0.246
0.246
0.245
0.245
0.251
0.256
0.258
0.255
0.253
0.251
0.248
0.244
0.24
0.24
0.24
0.241
0.242
0.239
0.239
0.235
0.234
0.232
0.232
0.227
0.223
0.216
0.212
0.211
0.21
0.208
0.206
0.206
0.206
0.208
0.224
0.251
0.289
0.354
0.457
0.584
0.731
0.859
0.839
0.631
0.396
0.156
-0.018
-0.113
-0.152
-0.152
-0.048
0.171
0.559
1.118
1.828
2.698
3.683
4.689
5.685
6.516
7.034
7.328
7.281
7.146
7.143
7.143
7.145
7.242
7.381
7.215
6.826
6.194
5.213
4.152
3.16
2.261
1.47
0.827
0.361
0.064
-0.089
-0.116
-0.116
-0.037
0.099
0.3
0.553
0.78
0.895
0.753
0.603
0.467
0.359
0.283
0.231
0.195
0.182
0.176
0.171
0.166
0.165
0.165
0.166
0.167
0.169
0.172
0.175
0.179
0.186
0.19
0.19
0.191
0.191
0.192
0.195
0.197
0.2
0.205
0.208
0.211
0.211
0.215
0.218
0.219
0.22
0.22
0.22
0.22
0.219
0.219
0.22
0.221
0.221
0.219
0.219
0.217
0.217
0.217
0.218
0.221
0.221
0.223
0.226
0.232
0.236
0.236
0.236
0.235
0.236
0.239
0.239
0.238
0.238
0.242
0.241
0.239
0.238
0.239
0.243
0.252
0.263
0.281
0.332
0.392
0.489
0.659
0.9
1.239
1.866
