Atenolol_28,Atenolol_29
1.126,1.12
1.127,1.117
1.126,1.116
1.123,1.113
1.123,1.113
1.122,1.113
1.121,1.114
1.121,1.114
1.122,1.115
1.126,1.121
1.131,1.125
1.134,1.129
1.137,1.132
1.138,1.133
1.144,1.137
1.145,1.138
1.144,1.139
1.145,1.138
1.145,1.136
1.143,1.135
1.137,1.131
1.134,1.125
1.132,1.122
1.126,1.12
1.123,1.117
1.118,1.111
1.117,1.108
1.112,1.106
1.109,1.1
1.109,1.098
1.109,1.097
1.109,1.098
1.109,1.097
1.108,1.097
1.107,1.096
1.107,1.096
1.104,1.094
1.103,1.093
1.1,1.093
1.099,1.091
1.097,1.089
1.095,1.087
1.095,1.085
1.088,1.085
1.087,1.083
1.088,1.083
1.088,1.083
1.092,1.086
1.091,1.087
1.092,1.087
1.094,1.09
1.098,1.094
1.099,1.096
1.095,1.092
1.094,1.09
1.092,1.088
1.092,1.087
1.092,1.087
1.088,1.089
1.085,1.087
1.084,1.088
1.083,1.088
1.083,1.088
1.082,1.088
1.083,1.09
1.081,1.094
1.079,1.098
1.078,1.102
1.078,1.106
1.075,1.114
1.075,1.124
1.075,1.14
1.081,1.165
1.113,1.211
1.185,1.294
1.31,1.45
1.509,1.571
1.649,1.492
1.499,1.402
1.378,1.297
1.14,1.179
0.975,1.074
0.666,0.818
0.402,0.505
-0.013,-0.04
-0.613,-0.511
-0.919,-0.803
-1.057,-0.851
-1.057,-0.851
-1.004,-0.846
-0.756,-0.458
-0.252,0.222
0.469,1.187
1.653,2.374
2.753,3.597
4.09,4.286
4.787,5.16
5.55,5.437
6.094,5.756
6.842,6.179
7.466,6.592
7.81,7.172
7.814,7.146
7.408,6.724
7.023,6.25
6.31,5.844
5.323,5.494
4.726,5.173
4.363,4.605
3.215,3.859
1.725,2.313
0.755,1.327
-0.043,0.334
-0.659,-0.373
-0.921,-0.774
-1.0,-0.85
-1.0,-0.836
-0.91,-0.825
-0.612,-0.541
-0.059,-0.141
0.375,0.447
0.704,0.736
0.947,0.987
1.105,1.114
1.337,1.218
1.457,1.335
1.605,1.427
1.522,1.497
1.299,1.42
1.154,1.253
1.079,1.162
1.029,1.106
1.014,1.074
1.011,1.053
1.009,1.042
1.009,1.03
1.012,1.029
1.017,1.03
1.022,1.03
1.025,1.03
1.029,1.03
1.034,1.031
1.041,1.031
1.047,1.035
1.05,1.035
1.055,1.039
1.061,1.041
1.063,1.044
1.064,1.043
1.065,1.044
1.066,1.046
1.069,1.048
1.071,1.048
1.071,1.048
1.073,1.051
1.078,1.055
1.081,1.058
1.083,1.06
1.085,1.063
1.086,1.065
1.086,1.068
1.086,1.069
1.086,1.069
1.088,1.072
1.091,1.076
1.096,1.08
1.098,1.082
1.102,1.086
1.106,1.09
1.106,1.091
1.111,1.096
1.112,1.096
1.115,1.099
1.116,1.101
1.115,1.102
1.118,1.103
1.121,1.107
1.124,1.109
1.127,1.112
1.13,1.114
1.13,1.115
1.133,1.115
1.134,1.114
1.136,1.116
1.138,1.119
1.14,1.121
1.142,1.123
1.142,1.123
1.143,1.125
1.146,1.127
1.145,1.127
1.145,1.128
1.146,1.129
1.146,1.13
1.147,1.131
1.148,1.132
1.148,1.132
1.149,1.135
1.152,1.138
1.154,1.14
1.155,1.141
1.155,1.142
1.155,1.142
1.157,1.144
9999.824,9999.826
