Ethanol_69
0.853
0.678
0.549
0.457
0.391
0.344
0.315
0.291
0.279
0.272
0.268
0.265
0.263
0.263
0.263
0.263
0.263
0.265
0.267
0.268
0.268
0.27
0.27
0.27
0.27
0.27
0.27
0.271
0.272
0.272
0.272
0.274
0.274
0.275
0.275
0.274
0.274
0.274
0.274
0.274
0.274
0.278
0.277
0.276
0.275
0.274
0.273
0.27
0.27
0.27
0.27
0.27
0.27
0.269
0.268
0.268
0.267
0.266
0.266
0.264
0.262
0.26
0.258
0.257
0.256
0.255
0.255
0.255
0.255
0.255
0.26
0.271
0.291
0.318
0.358
0.418
0.474
0.5
0.41
0.289
0.138
-0.009
-0.12
-0.203
-0.241
-0.241
-0.241
-0.215
-0.125
0.026
0.239
0.503
0.82
1.162
1.496
1.814
2.094
2.264
2.174
2.164
2.163
2.163
2.164
2.171
2.227
2.213
1.977
1.677
1.321
0.975
0.663
0.37
0.127
-0.05
-0.168
-0.224
-0.224
-0.224
-0.212
-0.146
-0.048
0.08
0.234
0.366
0.461
0.481
0.427
0.367
0.315
0.288
0.265
0.252
0.247
0.244
0.241
0.241
0.24
0.24
0.24
0.241
0.242
0.244
0.244
0.247
0.25
0.251
0.251
0.251
0.251
0.251
0.253
0.254
0.256
0.257
0.258
0.258
0.258
0.262
0.261
0.261
0.261
0.262
0.262
0.262
0.262
0.262
0.263
0.263
0.262
0.262
0.262
0.261
0.26
0.26
0.26
0.262
0.262
0.262
0.262
0.266
0.268
0.268
0.268
0.268
0.268
0.27
0.27
0.27
0.27
0.271
0.271
0.27
0.27
0.27
0.272
0.275
0.281
0.288
0.302
0.331
0.371
0.434
0.529
0.662
0.855
