epoch,train_loss,val_loss
1,25.885330030489243,25.721775557643685
2,25.243244343308156,25.736009898419837
3,24.59382337327929,25.063636282001664
4,23.734370318326082,23.303552903562245
5,22.595248459078743,22.097009954526442
6,21.207471683976884,20.911881025447403
7,19.462149485398076,19.579894433033868
8,17.595324344745688,17.198739768922792
9,15.522020082332332,14.100804314132809
10,13.347312704045722,11.727527034375095
11,11.191136141272224,9.490223909225266
12,9.098976111888579,7.5652147596196615
13,7.246567973315831,6.394786648664056
14,5.5708895101614875,5.038212303043336
15,4.27220602007853,3.6200493293831206
16,3.1835421349139925,2.3456275081141666
17,2.435560200692453,1.6408344815251747
18,1.837063444114208,1.1123006542523701
19,1.4620147838199007,0.759011965851451
20,1.3094949191574279,0.6931758761713979
21,1.0806217731620942,0.6218548952301035
22,1.023212884027369,0.4603345101116856
23,0.9310993969171452,0.4631082033618168
24,0.983707815965939,0.43078885367982456
25,0.9234597255613326,0.4126138753746215
26,1.095058537390369,0.4147725425256315
27,1.0117213960081282,0.4290895025397456
28,0.9667124826626805,0.4298892954523249
29,0.8586108105018168,0.3881186699682428
30,0.7857004470935873,0.3770539806024665
31,0.8978734100964052,0.3853235561256261
32,0.8462938187892478,0.37938106009972494
33,0.8133999129251693,0.38966343503743794
34,0.7930628155831904,0.3680331674657127
35,0.8306866915744017,0.40551420484094347
36,0.8018153322984295,0.38259293335352756
37,0.8146934168404875,0.4226968467081548
38,0.8026533701741103,0.3656458469632368
39,0.8162267729784118,0.37116449112577954
40,0.7758773677891719,0.38596465987290524
41,0.7683065476185426,0.3799917933937807
42,0.8505923862537209,0.3691170573311567
43,0.7420985437377202,0.3730045551631494
44,0.7945137301196904,0.38378075027034575
45,0.7778960420269109,0.40471099259317384
46,0.7243315129031065,0.3861974879752758
47,0.7485678913053737,0.4471394728474531
48,0.8005214936498055,0.373530898522345
49,0.7442990166767423,0.3656716791080258
50,0.7410602012732043,0.3606212116027063
