epoch,train_loss,val_loss
1,28.980305712299963,25.67377114050167
2,24.266482873732045,23.58881940546724
3,22.85999179224814,22.2454513667785
4,21.089539861371442,19.816959971005154
5,18.61853093547206,16.57573483653904
6,15.25827563747283,13.321197460607156
7,11.131392768121534,8.667069916872634
8,6.990499474310106,4.123359198422776
9,3.624491556536767,1.95843976920413
10,1.7243756620345576,1.228341374200644
11,1.035816251923961,0.38809662074157875
12,0.8037808502874066,0.5132527736966143
13,0.8920026643814579,0.34404508539081846
14,0.8581007086846136,0.4301445244513836
15,0.7194417360521131,0.3457455220296211
16,0.7856976817500206,0.4012308129944752
17,0.8675402682827364,0.3926801890442052
18,0.7506429172331287,0.377622190824489
19,0.839306965720269,0.3819600254604497
20,0.7408682447095071,0.37408797028138463
21,0.7542236734974769,0.32565623060944154
22,0.6872622129994054,0.3494738856541742
23,0.6787303411960601,0.3610750095745952
24,0.661359432512714,0.34588932007858436
25,0.6794872056284258,0.3567975670406499
26,0.6863850758921716,0.4048352683942342
27,0.705255815059908,0.3260820925850229
28,0.6859960702926882,0.3878987984558971
29,0.6798825696975954,0.3916659620926552
30,0.6543340664525186,0.33827344166863826
31,0.6545063715596353,0.34340534213277485
32,0.6528041581184634,0.36728231532057537
33,0.6933899602966924,0.38085399230116423
34,0.6143425490010169,0.3896267807360777
35,0.6916724661857852,0.36140378157502595
36,0.6595696510038068,0.34769260914055344
37,0.6299607459191353,0.32667985804302174
38,0.6750811453019419,0.3550507496927202
39,0.5691153949691403,0.33277908244083837
40,0.6370307163269289,0.32620333857143047
41,0.5746382100351395,0.31509355017819357
42,0.6822224230151023,0.34182961976405274
43,0.5913909977866757,0.3391405307140547
44,0.6023218954763104,0.3311288673238656
45,0.5992217013912816,0.32344145105057154
46,0.5989443643631474,0.3307608461257109
47,0.603784419105899,0.33650610557536487
48,0.548631965344952,0.3187396578567544
49,0.5864180263396233,0.3380116937086754
50,0.5697687803545306,0.3334618597915492
