epoch,train_loss,val_loss
1,26.200975186897047,25.36660927841344
2,25.414556307764993,24.859934305407336
3,24.605422266524197,23.99460218370575
4,23.50943489369848,22.691488305317986
5,22.115577590765298,21.061628911913054
6,20.35570347193823,19.422617902460786
7,18.32047182817293,16.327548007375185
8,16.03434733311489,14.412246782755114
9,13.648089124801311,12.329053603496748
10,11.191281710341237,9.86041222405188
11,8.91350888498824,7.2739241688521865
12,6.820612297759065,4.577326651700993
13,5.176928505753025,3.619317878152906
14,3.7791778426413227,2.4636470583296313
15,2.7040861198626973,1.8859218678523584
16,2.0006402393527987,1.1890022730089955
17,1.608257132142225,0.8278021644992927
18,1.3164581078855857,0.6541667334812203
19,1.1006416343704952,0.4596931620971444
20,1.08679278211237,0.415448978850522
21,1.0269214811823124,0.3932051904422721
22,1.109841132917226,0.41476401901736704
23,1.0262688123203723,0.39629959368828643
24,1.0653390410175483,0.42857044873778355
25,0.970607806758524,0.35795879947770504
26,0.916404263501318,0.36554069678807993
27,0.8805969867838498,0.36023594869166303
28,0.887686225039816,0.34979764794565965
29,0.9928489939617695,0.3659605577434461
30,0.8468781019087225,0.344339456447621
31,0.806405941318651,0.3517963019842954
32,0.9867748985899255,0.3473438291820054
33,0.820126765643605,0.3393793185961615
34,0.8164611109835651,0.3832439368533105
35,0.8357013314097717,0.35510284445949436
36,0.716250847225263,0.3617680033611268
37,0.7597918491222103,0.37136442698154254
38,0.781369285726455,0.3644856392722769
39,0.7839456922311617,0.3492814640408939
40,0.8467708804544366,0.37556382368520363
41,0.8310886736764668,0.3588299917191574
42,0.7627023606051329,0.33193225743844335
43,0.8670674390288647,0.3347530063894606
44,0.793168689803413,0.34663094103950814
45,0.7619284953823557,0.339901837798738
46,0.7793806777855107,0.3458588362969074
47,0.7768477328280186,0.344709277767496
48,0.8152842151204053,0.34407932764476107
49,0.6602856619445683,0.3358051397444047
50,0.8313940500997867,0.3387606577928533
