lgfe_0,lgfe_1,lgfe_2,lgfe_3,lgfe_4,lgfe_5,lgfe_6,lgfe_7,lgfe_8,lgfe_9,lgfe_10,lgfe_11,lgfe_12,lgfe_13,lgfe_14,lgfe_15,lgfe_16,lgfe_17,lgfe_18,lgfe_19,lgfe_20,lgfe_21,lgfe_22,lgfe_23,lgfe_24,lgfe_25,lgfe_26,lgfe_27,lgfe_28,lgfe_29,lgfe_30,lgfe_31,lgfe_32,lgfe_33,lgfe_34,lgfe_35,lgfe_36,lgfe_37,lgfe_38,lgfe_39,lgfe_40,lgfe_41,lgfe_42,lgfe_43,lgfe_44,lgfe_45,lgfe_46,lgfe_47,lgfe_48,lgfe_49,lgfe_50,lgfe_51,lgfe_52,lgfe_53,lgfe_54,lgfe_55,lgfe_56,lgfe_57,lgfe_58,lgfe_59,lgfe_60,lgfe_61,lgfe_62,lgfe_63,lgfe_64,lgfe_65,lgfe_66,lgfe_67,lgfe_68,lgfe_69,lgfe_70,lgfe_71,lgfe_72,lgfe_73,lgfe_74,lgfe_75,lgfe_76,lgfe_77,lgfe_78,lgfe_79,lgfe_80,lgfe_81,lgfe_82,lgfe_83,lgfe_84,lgfe_85,lgfe_86,lgfe_87,lgfe_88,lgfe_89,lgfe_90,lgfe_91,lgfe_92,lgfe_93,lgfe_94,lgfe_95,lgfe_96,lgfe_97,lgfe_98,lgfe_99,lgfe_100,lgfe_101,lgfe_102,lgfe_103,lgfe_104,lgfe_105,lgfe_106,lgfe_107,lgfe_108,lgfe_109,lgfe_110,lgfe_111,lgfe_112,lgfe_113,lgfe_114,lgfe_115,lgfe_116,lgfe_117,lgfe_118,lgfe_119,lgfe_120,lgfe_121,lgfe_122,lgfe_123,lgfe_124,lgfe_125,lgfe_126,lgfe_127,lgfe_128,lgfe_129,lgfe_130,lgfe_131,lgfe_132,lgfe_133,lgfe_134,lgfe_135,lgfe_136,lgfe_137,lgfe_138,lgfe_139,lgfe_140,lgfe_141,lgfe_142,lgfe_143,lgfe_144,lgfe_145,lgfe_146,lgfe_147,lgfe_148,lgfe_149,lgfe_150,lgfe_151,lgfe_152,lgfe_153,lgfe_154,lgfe_155,lgfe_156,lgfe_157,lgfe_158,lgfe_159,lgfe_160,lgfe_161,lgfe_162,lgfe_163,lgfe_164,lgfe_165,lgfe_166,lgfe_167,lgfe_168,lgfe_169,lgfe_170,lgfe_171,lgfe_172,lgfe_173,lgfe_174,lgfe_175,lgfe_176,lgfe_177,lgfe_178,lgfe_179,lgfe_180,lgfe_181,lgfe_182,lgfe_183,lgfe_184,Molecule,Parent,log10_P_app,SMILES
1.125,1.129,1.132,1.133,1.137,1.138,1.139,1.138,1.136,1.135,1.131,1.125,1.122,1.12,1.117,1.111,1.108,1.106,1.1,1.098,1.097,1.098,1.097,1.097,1.096,1.096,1.094,1.093,1.093,1.091,1.089,1.087,1.085,1.085,1.083,1.083,1.083,1.086,1.087,1.087,1.09,1.094,1.096,1.092,1.09,1.088,1.087,1.087,1.089,1.087,1.088,1.088,1.088,1.088,1.09,1.094,1.098,1.102,1.106,1.114,1.124,1.14,1.165,1.211,1.294,1.45,1.571,1.492,1.402,1.297,1.179,1.074,0.818,0.505,-0.04,-0.511,-0.803,-0.851,-0.851,-0.846,-0.458,0.222,1.187,2.374,3.597,4.286,5.16,5.437,5.756,6.179,6.592,7.172,7.146,6.724,6.25,5.844,5.494,5.173,4.605,3.859,2.313,1.327,0.334,-0.373,-0.774,-0.85,-0.836,-0.825,-0.541,-0.141,0.447,0.736,0.987,1.114,1.218,1.335,1.427,1.497,1.42,1.253,1.162,1.106,1.074,1.053,1.042,1.03,1.029,1.03,1.03,1.03,1.03,1.031,1.031,1.035,1.035,1.039,1.041,1.044,1.043,1.044,1.046,1.048,1.048,1.048,1.051,1.055,1.058,1.06,1.063,1.065,1.068,1.069,1.069,1.072,1.076,1.08,1.082,1.086,1.09,1.091,1.096,1.096,1.099,1.101,1.102,1.103,1.107,1.109,1.112,1.114,1.115,1.115,1.114,1.116,1.119,1.121,1.123,1.123,1.125,1.127,1.127,1.128,1.129,1.13,1.131,Atenolol_29,Atenolol,-6.236572006437063,CC(C)[NH2+]C[C@H](O)COc1ccc(CC(N)=O)cc1
0.666,0.669,0.671,0.673,0.673,0.675,0.675,0.673,0.669,0.665,0.66,0.654,0.651,0.648,0.645,0.642,0.639,0.637,0.637,0.635,0.635,0.635,0.633,0.633,0.635,0.635,0.634,0.633,0.631,0.631,0.629,0.626,0.622,0.617,0.616,0.616,0.617,0.618,0.619,0.622,0.623,0.625,0.624,0.622,0.62,0.616,0.611,0.607,0.604,0.599,0.595,0.594,0.594,0.594,0.593,0.593,0.592,0.588,0.587,0.587,0.59,0.597,0.619,0.672,0.761,0.901,1.112,1.396,1.762,2.109,2.411,2.455,2.226,1.881,1.537,1.365,1.353,1.353,1.424,1.649,2.182,2.861,3.852,4.946,6.106,7.34,8.556,9.653,10.52,11.079,11.41,11.585,11.704,11.712,11.425,10.895,10.052,8.975,7.736,6.453,5.255,4.109,3.141,2.395,1.837,1.583,1.498,1.488,1.488,1.625,1.921,2.258,2.479,2.449,2.151,1.81,1.443,1.146,0.924,0.769,0.672,0.614,0.579,0.567,0.564,0.564,0.564,0.567,0.57,0.576,0.581,0.589,0.594,0.599,0.604,0.607,0.609,0.611,0.613,0.615,0.616,0.619,0.619,0.622,0.624,0.625,0.626,0.627,0.627,0.627,0.626,0.626,0.628,0.632,0.633,0.635,0.638,0.642,0.643,0.642,0.642,0.641,0.641,0.64,0.639,0.639,0.639,0.642,0.644,0.647,0.65,0.653,0.657,0.661,0.664,0.666,0.667,0.667,0.669,0.673,0.673,0.673,0.67,0.666,0.662,Caffeine_35,Caffeine,-4.100726812682396,Cn1c(=O)c2c(ncn2C)n(C)c1=O
1.131,1.134,1.137,1.138,1.144,1.145,1.144,1.145,1.145,1.143,1.137,1.134,1.132,1.126,1.123,1.118,1.117,1.112,1.109,1.109,1.109,1.109,1.109,1.108,1.107,1.107,1.104,1.103,1.1,1.099,1.097,1.095,1.095,1.088,1.087,1.088,1.088,1.092,1.091,1.092,1.094,1.098,1.099,1.095,1.094,1.092,1.092,1.092,1.088,1.085,1.084,1.083,1.083,1.082,1.083,1.081,1.079,1.078,1.078,1.075,1.075,1.075,1.081,1.113,1.185,1.31,1.509,1.649,1.499,1.378,1.14,0.975,0.666,0.402,-0.013,-0.613,-0.919,-1.057,-1.057,-1.004,-0.756,-0.252,0.469,1.653,2.753,4.09,4.787,5.55,6.094,6.842,7.466,7.81,7.814,7.408,7.023,6.31,5.323,4.726,4.363,3.215,1.725,0.755,-0.043,-0.659,-0.921,-1.0,-1.0,-0.91,-0.612,-0.059,0.375,0.704,0.947,1.105,1.337,1.457,1.605,1.522,1.299,1.154,1.079,1.029,1.014,1.011,1.009,1.009,1.012,1.017,1.022,1.025,1.029,1.034,1.041,1.047,1.05,1.055,1.061,1.063,1.064,1.065,1.066,1.069,1.071,1.071,1.073,1.078,1.081,1.083,1.085,1.086,1.086,1.086,1.086,1.088,1.091,1.096,1.098,1.102,1.106,1.106,1.111,1.112,1.115,1.116,1.115,1.118,1.121,1.124,1.127,1.13,1.13,1.133,1.134,1.136,1.138,1.14,1.142,1.142,1.143,1.146,1.145,1.145,1.146,1.146,1.147,Atenolol_28,Atenolol,-6.236572006437063,CC(C)NC[C@H](O)COc1ccc(CC(N)=O)cc1
0.839,0.843,0.846,0.847,0.85,0.851,0.85,0.85,0.85,0.847,0.84,0.837,0.836,0.834,0.831,0.828,0.828,0.824,0.823,0.824,0.822,0.822,0.823,0.822,0.822,0.822,0.821,0.821,0.82,0.819,0.818,0.814,0.811,0.81,0.809,0.81,0.81,0.81,0.811,0.813,0.813,0.815,0.816,0.813,0.811,0.81,0.808,0.806,0.801,0.8,0.798,0.797,0.797,0.798,0.798,0.798,0.796,0.796,0.794,0.792,0.792,0.792,0.797,0.82,0.867,0.954,1.081,1.265,1.462,1.626,1.741,1.679,1.384,0.982,0.551,0.214,-0.015,-0.095,-0.095,-0.091,-0.001,0.204,0.566,1.056,1.642,2.282,2.942,3.6,4.233,4.722,5.028,5.164,5.216,5.176,4.916,4.459,3.82,3.141,2.452,1.784,1.18,0.684,0.312,0.087,-0.015,-0.027,-0.027,0.035,0.236,0.569,0.958,1.353,1.649,1.733,1.626,1.471,1.279,1.096,0.954,0.864,0.808,0.777,0.761,0.76,0.76,0.762,0.763,0.764,0.768,0.771,0.775,0.777,0.783,0.788,0.79,0.793,0.796,0.796,0.798,0.798,0.799,0.802,0.802,0.802,0.805,0.807,0.809,0.81,0.812,0.811,0.811,0.811,0.811,0.813,0.816,0.817,0.818,0.82,0.824,0.824,0.823,0.824,0.824,0.824,0.824,0.824,0.824,0.825,0.827,0.828,0.83,0.832,0.835,0.837,0.837,0.841,0.841,0.842,0.844,0.845,0.847,0.845,0.843,0.84,0.84,Antipyrine_27,Antipyrine,-4.139063379299906,Cc1cc(=O)n(-c2ccccc2)n1C
0.524,0.527,0.529,0.53,0.531,0.531,0.531,0.529,0.526,0.522,0.517,0.512,0.507,0.506,0.503,0.501,0.498,0.493,0.493,0.493,0.493,0.491,0.491,0.49,0.49,0.49,0.489,0.488,0.488,0.488,0.486,0.482,0.48,0.479,0.478,0.478,0.479,0.48,0.481,0.485,0.486,0.486,0.486,0.487,0.484,0.482,0.478,0.475,0.474,0.471,0.47,0.47,0.47,0.475,0.476,0.48,0.482,0.485,0.487,0.5,0.51,0.534,0.57,0.632,0.723,0.844,1.002,1.175,1.383,1.604,1.834,1.91,1.645,1.368,1.149,1.105,1.105,1.112,1.3,1.72,2.345,3.206,4.281,5.496,6.794,8.147,9.191,10.08,10.848,11.278,11.53,11.616,11.689,11.755,11.552,11.107,10.477,9.707,8.508,7.108,5.764,4.497,3.405,2.519,1.871,1.425,1.211,1.192,1.192,1.2,1.379,1.647,1.912,1.842,1.613,1.398,1.185,1.015,0.848,0.723,0.627,0.558,0.515,0.486,0.47,0.462,0.454,0.452,0.452,0.452,0.453,0.453,0.458,0.461,0.463,0.463,0.463,0.464,0.466,0.467,0.467,0.467,0.469,0.47,0.472,0.474,0.475,0.476,0.477,0.477,0.477,0.477,0.48,0.484,0.485,0.488,0.491,0.494,0.495,0.495,0.495,0.495,0.494,0.494,0.494,0.494,0.495,0.497,0.499,0.5,0.502,0.503,0.507,0.511,0.512,0.515,0.514,0.514,0.516,0.52,0.52,0.522,0.52,0.518,0.516,Caffeine_36,Caffeine,-4.100726812682396,Cn1c(=O)c2c([nH+]cn2C)n(C)c1=O
