n-Propanol_29
0.371
0.37
0.37
0.37
0.37
0.37
0.37
0.37
0.37
0.371
0.372
0.373
0.374
0.375
0.375
0.376
0.376
0.377
0.376
0.375
0.374
0.374
0.373
0.372
0.372
0.372
0.37
0.367
0.365
0.365
0.364
0.364
0.364
0.364
0.364
0.364
0.364
0.364
0.362
0.361
0.361
0.361
0.36
0.359
0.359
0.359
0.359
0.36
0.363
0.363
0.364
0.364
0.364
0.365
0.365
0.365
0.364
0.364
0.364
0.364
0.364
0.364
0.365
0.365
0.365
0.365
0.365
0.365
0.364
0.362
0.362
0.362
0.362
0.367
0.379
0.409
0.455
0.522
0.615
0.71
0.677
0.508
0.274
0.061
-0.153
-0.321
-0.423
-0.467
-0.474
-0.474
-0.407
-0.276
-0.078
0.189
0.513
0.876
1.249
1.584
1.914
2.112
2.273
2.293
2.281
2.279
2.17
1.935
1.643
1.284
0.922
0.568
0.241
-0.041
-0.253
-0.401
-0.481
-0.486
-0.486
-0.42
-0.353
-0.186
-0.007
0.244
0.459
0.642
0.699
0.609
0.521
0.446
0.401
0.365
0.348
0.342
0.34
0.338
0.335
0.335
0.337
0.338
0.338
0.338
0.341
0.342
0.347
0.35
0.35
0.35
0.35
0.35
0.35
0.352
0.352
0.353
0.353
0.354
0.354
0.356
0.358
0.359
0.36
0.359
0.359
0.36
0.36
0.361
0.362
0.364
0.365
0.365
0.365
0.366
0.366
0.368
0.368
0.368
0.368
0.369
0.37
0.371
0.371
0.373
0.373
0.371
0.371
0.371
0.371
0.371
0.371
0.372
0.371
0.371
0.372
0.372
0.372
0.372
0.372
0.373
0.375
0.375
0.377
0.377
0.377
0.377
0.377
0.377
0.381
